title,content_img,content_text,choices_1,choices_2,choices_3,choices_4,answer
".릴레이션 Emp, Dept가 다음과 같이 정의되어 있다. 부서에 사원이 한 명도 없는 부서(deptno)를 검색하는 질의를 작성했을 때, 가장 거리가 먼 것은? (단, Emp의 deptno는 Dept의 deptno를 참조하는 외래키이다)",,, SELECT deptno FROM Dept WHERE deptno NOT IN (SELECT deptno FROM Emp);, SELECT deptno FROM Dept a WHERE NOT EXISTS(SELECT * FROM Emp b WHERE a.deptno =b.deptno);, SELECT b.deptno FROM Emp a RIGHT OUTER JOIN Dept b ON a.deptno = b.deptno WHERE empno IS NULL;, SELECT deptno FROM Dept WHERE deptno < > ANY (SELECT deptno FROM Emp);,정답 :
.실행 계획에 대한 설명으로 적절하지 않은 것은?,,, 실행 계획은 SQL문의 처리를 위한 절차와 방법이 표현된다., 실행 계획이 다르면 결과도 달라질 수 있다.," 실행 계획은 액세스 기법, 조인 순서, 조인 방법 등으로 구성된다.", 최적화 정보는 실행 계획의 단계별 예상 비용을 표시한 것이다.,정답 : 동일 SQL문에 대해 실행 계획이 다르다고 결과가 달라지지는 않는다. 그러나 실행 계획의 차이로 성능이 달라질 수 있다.
.3차정규화에 대한 설명으로 옳은 것을 고르시오.,,, 속성 간 종속성을 가지면 안 된다., 모든 속성은 반드시 기본 키 전부에 종속되어야 한다., 모든 속성은 반드시 하나의 값을 가져야 한다., 다수의 주식별자를 분리시킨다.,정답 : 식별자를 제외한 일반 속성 간 종속을 제거한다.
.데이터 모델링의 세 가지 중요개념에 속하지 않는 것은?,,, 업무가 관여하는 어떤 것(Things), 업무가 관여하는 어떤 것의 성격(Attributes), 업무가 관여하는 어떤 것의 행위(Events), 업무가 관여하는 어떤 것의 관계(Relationships),"정답 : 업무가 관여하는 어떤 것(Things), 업무가 관여하는 어떤 것의 성격(Attributes), 업무가 관여하는 어떤 것의 관계(Relationships)로 구분이 된다."
.다음 중 분산 데이터베이스의 특징으로 가장 부적절한 것은?,,," 지역 자치성, 점증적 시스템 용량 확장", 빠른 응답 속도와 통신 비용 절감, 오류의 잠재성 증대, 처리 비용의 감소,정답 : 분산 데이터베이스는 네트워크에 떨어져 있는 데이터베이스를 구축하고 관리해야 하기 때문에 처리비용이 증가한다.
.Sort Merge 방식의 조인이 Nested Loop 방식 조인보다 효율적으로 판단되는 것을 고르시오.,,, 기본키와 외래키 관계에서 외래키에 인덱스가 없을 때, 사용자가 발주한 주문에 대해서 체결 정보 한 건을 확인할 때, 병렬로 테이블을 읽고 SORT_AREA_SIZE가 작은 경우, Random Access가 자주 발생하지 않을 때,정답 : Sort Merge 방식의 조인은 두 개의 테이블을 Sort 한 후에 Merge를 한다. Merge가 완료되면 한 번의 Full Scan으로 데이터를 검색한다. 따라서 기본키와 외래키 관계에서 외래키에 인덱스가 없을 때 옵티마이저가 Sort Merge 방식의 조인으로 동작하게 한다.
.다음 주어진 그룹 함수와 동일한 결괏값을 반환하는 그룹 함수를 고르시오.,,," GROUP BY ROLLUP(DEPTNO, JOB);"," GROUP BY (DEPTNO, JOB, (DEPTNO, JOB), ());"," GROUP BY DEPTNO UNION ALL GROUP BY JOB UNION ALL GROUP BY (DEPTNO, JOB);"," GROUP BY GROUPING SETS (DEPTNO, JOB, (DEPTNO, JOB), ());",정답 : 그룹 함수 중 CUBE는 CUBE 함수에 제시된 칼럼에 대해서 결합 가능한 모든 집계를 계산한다.
.다음은 ERD(Entity Relationship Diagram) 작성 순서이다. 올바른 것을 고르시오.,,, 나)→가)→다)→라)→마)→바), 가)→나)→다)→라)→마)→바), 가)→나)→라)→다)→마)→바), 가)→나)→다)→마)→바)→라),정답 :
".아래와 같은 테이블 TAB1, TAB2가 있을 때 아래 SQL의 결과 건수를 알맞게 나열한 것은?",https://cbt.youngjin.com/upload/sqld/77.png,," 2, 4, 3, 5, 12"," 2, 4, 5, 3, 12"," 2, 3, 4, 5, 12"," 2, 4, 3, 7, 12","정답 : TAB1 테이블에는 행이 4개, TAB2 테이블에는 행이 3개가 있다. KEY 칼럼을 사용해서 INNER JOIN을 하면 같은 것만 찾는다. 따라서 TAB1와 TAB2 테이블의 KEY 칼럼에서 ‘B’와 ‘C’가 같기 때문에 2개의 행이 출력된다."
.다음 SQL문의 실행 결과로 올바른 것을 고르시오.,https://cbt.youngjin.com/upload/sqld/74.png,," 10, 20"," 10, 20, 30"," 10, 20, 30 ,40"," 10, 20, 30, 40, 50",정답 : ALL 연산자는 서브쿼리(Subquery) 값 모두가 조건에 만족하면 True를 반환한다.
.조인에 대한 설명으로 적절하지 않은 것은 다음 중 무엇인가?,,, Nested Loop Join은 중첩된 반복문과 유사한 형식이다., FROM절에 나열된 모든 테이블이 동시에 조인 작업이 수행된다., Nested Loop Join은 선행 테이블의 조건을 만족하는 건수만큼 반복 수행된다., Hash Join은 작은 테이블을 선행 테이블로 사용하는 것이 성능관점에서 좋다.,"정답 : FROM절에 아무리 많은 테이블이 나열되더라도 항상 2개씩 조인된다. 테이블과 테이블 사이 또는 앞에서 이미 수행된 조인의 결과 집합과 테이블, 조인 결과와 조인 결과 사이에서 조인이 처리된다."
.아래 SQL에서 출력되는 ROWS의 개수를 구하시오.,https://cbt.youngjin.com/upload/sqld/78.png,, 10건, 14건, 18건, 20건,정답 : DEPTNO로 조인을 하고 DNAME과 JOB으로 CUBE를 실행했다. CUBE는 전체합계와 각 칼럼별로 부분합계를 출력한다.
.다음 결과는 2개의 테이블을 어떤 Join으로 진행한 것인가?,https://cbt.youngjin.com/upload/sqld/118.png,, Natural Join, Right Outer Join, Left Outer Join, Full Outer Join,정답 : 위의 결과를 보면 EMPNO와 DEPTNO 각각에 서로 없는 것이 있다. 그래서 FULL OUTER JOIN이 된다.
.우선순위를 계산하는 윈도우 함수에서 동일한 우선순위가 나와도 고유의 값을 부여하기 위한 방법으로 올바른 것은 무엇인가?,,, Select RANK( ) OVER (PARTITION BY DEPTNO ORDER BY SAL DESC) DEPT_RANK;, Select DENSE_RANK( ) OVER (PARTITION BY DEPTNO ORDER BY SAL DESC) DEPT_RANK;, Select ROW_NUMBER( ) OVER (PARTITION BY DEPTNO ORDER BY SAL DESC) DEPT_RANK;, Select UNIQUE_RANK( ) OVER (PARTITION BY DEPTNO ORDER BY SAL DESC) DEPT_RANK;,정답 : 윈도우 ROW_NUMBER() 함수는 동일한 우선순위가 나올 때 고유 값을 부여한다.
.데이터 모델링에 대한 단계 중 아래에서 설명하는 단계는 어떤 단계의 모델링인가?,,, 물리적 데이터 모델링, 논리적 데이터 모델링, 개념적 데이터 모델링, 추상적 데이터 모델링,"정답 : •전사적 관점에서 기업의 데이터를 모델링한다.•추상화 수준이 가장 높은 모델링이다.•계층형 데이터 모델, 네트워크 모델, 관계형 모델에 관계없이 업무 측면에서 모델링을 한다."
.윈도우 함수 중에서 윈도우에서 제일 먼저 나오는 것을 0으로 하고 제일 늦게 나오는 것을 1로 해서 행 순서별 백분율을 구하는 것은?,,, FIRST_VALUE, LAST_VALUE, PERCENT_RANK, CUME_DIST,정답 : 위의 문제는 PERCENT_RANK()라는 윈도우 함수에 대한 것이다.
.다음 주어진 SQL문을 수행한 결과 영구적으로 반영되는 것은 무엇인가?,,," 1, 7, 9"," 1, 9, 11"," 1, 9, 11, 9"," 1, 2",정답 : SQL문의 맨 하단에서 ROLLBACK TO SV2 명령어를 수행하면 SAVEPOINT SV2 지점까지 변경된 것을 모두 취소한다.
데이터를 입력하기 위해 사용하는 SQL 명령어는 무엇인가?,,,CREATE,INSERT,UPDATE,ALTER,정답 : 데이터를 입력하기 위해서 “INSERT” 명령어를 사용한다.
실행 계획에 대한 설명으로 적절하지 않은 것은?,,,실행 계획은 SQL문의 처리를 위한 절차와 방법이 표현된다.,실행 계획이 다르면 결과도 달라질 수 있다.,"실행 계획은 액세스 기법, 조인 순서, 조인 방법 등으로 구성된다.",최적화 정보는 실행 계획의 단계별 예상 비용을 표시한 것이다.,정답 : 동일 SQL문에 대해 실행 계획이 다르다고 결과가 달라지지는 않는다. 그러나 실행 계획의 차이로 성능이 달라질 수 있다.
"도서(도서번호, 도서제목, 출판사명, 발행연도) 테이블에서, 2000년 이후에 10권 이상의 책을 발행한 출판사의 이름을 중복 없이 출력하는 SQL문으로 옳은 것은? (단, 출판사명이 동일한 출판사는 존재하지 않는 것으로 가정한다. 도서번호는 도서 테이블의 기본키이다)",,,SELECT 출판사명 FROM 도서 WH-ERE 발행연도 >= 2000ORDER BY COUNT(도서번호) >= 10;,SELECT 출판사명 FROM 도서 WH-ERE 발행연도 >= 2000AND COUNT(도서번호) >= 10 GR-OUP BY 출판사명;,SELECT 출판사명 FROM 도서 WH-ERE COUNT(도서번호) >= 10GROUP BY 출판사명 HAVING 발행연도 >= 2000;,SELECT 출판사명 FROM 도서 WH-ERE 발행연도 >= 2000GROUP BY 출판사명 HAVING CO-UNT(도서번호) >= 10;,정답 : 문제에서 10권 이상 구매한 사람을 출력하기 위해서 “HAVING COUNT(도서번호)>=10”의 HAVING절을 추가하고 발행연도가 2000 이후 이므로 WHERE절에 “발행연도 >=2000”을 넣어야 한다. 또한 출판사명은 이름에 중복이 없어야 하므로 GROUP BY구로 “출판사명”을 추가하면 된다.
우선순위를 계산하는 윈도우 함수에서 동일한 우선순위가 나와도 고유의 값을 부여하기 위한 방법으로 올바른 것은 무엇인가?,,, Select RANK( ) OVER (PARTITION BY DEPTNO ORDER BY SAL DESC) DEPT_RANK;, Select DENSE_RANK( ) OVER (PARTITION BY DEPTNO ORDER BY SAL DESC) DEPT_RANK;, Select ROW_NUMBER( ) OVER (PARTITION BY DEPTNO ORDER BY SAL DESC) DEPT_RANK;, Select UNIQUE_RANK( ) OVER (PARTITION BY DEPTNO ORDER BY SAL DESC) DEPT_RANK;,정답 : 윈도우 ROW_NUMBER() 함수는 동일한 우선순위가 나올 때 고유 값을 부여한다.
다음의 SQL문에 대한 설명으로 올바르지 않은 것은?,,, DATA 필드가 가질 수 있는 값의 범위는 0~3까지이다., SAL이 큰 순으로 조회된다., SAL의 값에 따라서 데이터를 4등분으로 분류해서 DATA 필드로 조회된다., SAL의 마지막 행은 급여가 가장 작은 사람이다.,정답 : NTILE(ARGUMENT) 윈도우 함수는 데이터를 ARGUMENT 값으로 N등분하는 함수이다. 위의 예처럼 NTILE(4)는 1부터 4까지 4등분한다.
자신의 속성이 없어도 다른 속성을 이용하여 결과를 도출할 수 있는 특징을 가진 속성의 이름은?,,, 설계 속성(Designed Attribute), 기본 속성(Basic Attribute), 파생 속성(Derived Attribute), 관계 속성(Associative Attribute),"정답 : 파생 속성(Derived Attribute)은 다른 속성을 이용하여 계산된 속성으로 자신의 고유값을 갖지 않고 파생, 유추되어 재산정될 수 있는 속성이다."
다음의 PREV_SAL은 어떤 윈도우 함수를 사용해야 하는가?,https://cbt.youngjin.com/upload/sqld/130.png,, LEAD, LAG, NTILE, LAST_VALUE,정답 : LAG() 윈도우 함수는 이전 행의 몇 번째 행 값을 가지고 올 수 있다.
"엔터티 간 1:1, 1:M과 같이 관계의 기수성을 나타내는 것을 무엇이라 하는가?",,, 관계 차수(Relationship Degree/Cardinality), 관계명(Relationship Membership), 관계선택성(Relationship Optionality), 관계정의(Relationship Definition),"정답 : 엔터티 간 1:1, 1:M 등과 같이 관계참여 인스턴스의 수를 지칭하는 것은 관계 차수이다."
Case문에서 ELSE를 생략하면 어떤 현상이 발생되는가?,,, ELSE를 생략하고 작성하면 실행 시 ELSE 조건이 참이 되며 오류가 발생한다., ELSE 조건이 만족하게 되면 공집합이 리턴 된다., ELSE 조건을 만족하게 되면 무시된다., ELSE 조건이 만족하게 되면 NULL이 된다.,"정답 : CASE문은 IF~THEN~ELSE를 구현할 수 있는 SQL문이다. 즉, 어떤 조건이 참이면 A를 실행하고 그렇지 않으면 B를 실행하라는 것이다. CASE문에서 ELSE 조건을 생략하면 NULL이 되돌려진다."
