id,title,content_img,content_text,choices_1,choices_2,choices_3,choices_4,answer
19,다음 중 계층형 질의문에 대한 설명으로 가장 부적절한 것은?,,,오라클의 계층형 질의문에서 PRIOR 키워드는 CONNECT BY 절에만 사용할 수 있으며 'prior 자식 = 부모' 형태로 사용하면 순방향 전개로 수행 된다.,오라클의 계층형 질의문에서 WHERE 절은 모든 전개를 진행한 이후 필터 조건으로서 조건을 만족하는 데이터만을 추출하는데 활용된다.,SQL Server에서의 계층형 질의문은 앵커 멤버를 실행하여 기본 결과 집합을 만들고 이후 재귀 멤버를 지속적으로 실행한다.,SQL Server에서의 게층형 질의문은 CTE(Common Table Expression)를 재귀 호출함으로써 계층 구조를 전개한다.,"정답: 1
해설: 오라클 계층형 질의문에서 PRIOR 키워드 SELECT, WHERE 절에서도 사용할 수 있다."
20,SELECT문의 처리 순서로 올바른 것은?,,"SELECT deptno,sum(sal) FROM dept WHERE deptno > 10 GROUP BY deptno ORDER BY deptno;","ORDER BY, SELECT, WHERE, GROUP BY, FROM","SELECT, FROM, WHERE, GROUP BY, ORDER BY","FROM, WHERE, GROUP BY, SELECT, ORDER BY","WHERE, GROUP BY, ORDER BY, FROM, SELECT","정답: 3
해설: None"
21,다음은 NULL 값에 대한 설명이다. 올바른 것은?,,,NULL 값은 아직 알려지지 않은 미지의 값이다.,ORACLE에서 NULL은 TRUE 혹은 FALSE의 의미이다.,MS-SQL에서 NULL 값은 0이다.,데이터베이스의 NULL 값의 의미는 DBMS 종류별로 다르게 해석한다.,"정답: 1
해설: NULL 값은 아직 알려지지 않은 미지의 값으로 0 혹은 TRUE, FALSE와는 다른 것이다."
22,다음 보기에서 설명하고 있는 데이터베이스 키의 종류는 무엇인가?,,데이터베이스 키의 종류 중에서 유일성과 최소성을 만족한다.,외래키,후보키,수퍼키,인조키,"정답: 2
해설: 후보키는 유일성과 최소성을 만족하는 키이다."
23,트랜잭션이 가지는 특징에 해당되지 않는 것은?,,,통합성,고립성,일관성,원자성,"정답: 1
해설: 트랜잭션이 가지는 특징은 원지성,일관성,고립성,지속성 이다."
24,아래 SQL에서 출력되는 ROWS의 개수를 구하시오.,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j401-1.png,"SELECT DNAME, JOB, COUNT(*) ""Total EMP"", SUM(SAL) ""Total Sal"" FROM SCOTT.EMP A, SCOTT.DEPT B WHERE A.DEPTNO = B.DEPTNO GROUP BY CUBE(DNAME,JOB);",20건,18건,14건,10건,"정답: 2
해설: 두 개의 테이블을 조인하면 14개의 행이 나오게 된다. 이를 CUBE로 집계를 하면 전체합계 1건, JOB별 집계 5건, DEPTNO별 집계 3건, DEPTNO에서의 JOB별 집계가 3건씩 9건으로 총 18건이 출력된다."
25,"아래의 테이블 스키마 정보를 참고하여, 다음 중 '구매 이력이 있는 고객 중 구매 홧수가 3회 이상인 고객의 이름과 등급을 출력하시오'라는 질의에 대해 아래 SQL 문장의 (ㄱ), (ㄴ) 에 들어 갈 구문으로 가장 적절한 것은?",,"[테이블] 고객(고객번호(PK), 이름, 등급) 구매정보(구매 번호 (PK)，구매 금액, 고객 번호 (FK)) * 구매정보 테이블의 고객번호는 고객 테이블의 고객번호를 참조하는 외래키(Foreign Key)이다. [SQL 문장] SELECT A.이름 , A.등급 FROM 고객 A (ㄱ) GROUP BY A.이름 ,A.등급 (ㄴ)",(ㄱ) : INNER JOIN 구매정보 B ON A.고객번호=B.고객번호 (ㄴ) : WHERE B.구매번호〉=3,(ㄱ) : LEFT OUTER JOIN 구매정보 B ON A.고객번호=B.고객번호 (ㄴ) : HAVING SUM(B.구매번호) >=3,(ㄱ) : INNER JOIN 구매정보 B ON A.고객번호=B.고객번호 (ㄴ) : HAVING COUNT(B. 구매번호) >=3,(ㄱ) : INNER JOIN 구매정보 B ON A.고객번호=B.고객번호 (ㄴ) : HAVING SUM(B. 구매번호)〉=3,"정답: 3
해설: None"
26,다음 중 주어진 테이블을 수행하였을 때 결괏값이 다른 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j495-1.png,,SELECT COUNT(*) FROM TEST16 WHERE MemberID IS NOT NULL;,"SELECT COUNT (NULLIF(MemberID, NULL)) FROM TEST16;",SELECT COUNT(MemberID) FROM TEST16;,SELECT COUNT(1) FROM TEST16;,"정답: 4
해설: 보기 ④번은 6개를 반환하고 나머지는 모두 4개를 반환한다."
27,다음 보기의 SQL문을 실행 했을 때 결괏값이 다른 하나는?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j294-1.png,,"select NVL(a.COL1,-1) as data from Mytest a;","select DECODE(a.COL1, null,-1,a.col1) as data from Mytest a;",select case when a.COL1 is null then -1 else 0 end as data from Mytest a;,select case a.COL1 when null then -1 else 0 end as data from Mytest a;,"정답: 4
해설: 나머지 보기는 모두 COL1 값이 NULL일 때 -1을 반환하는데 ④번 보기만 COL1값이 NULL일 때 0 을 반환한다. 즉, CASE문으로 NULL을 비교할 때 알수 없음이 된다."
28,다음 주어진 테이블에 대해서 아래와 같은 SQL문을 수행하였을 때 반환되는 ROW 값의 수는 무엇인가?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j195-1.png,,4,3,2,1,"정답: 1
해설: 주어진 SQL문 앞에 UNION 연산을 수행하면 1,2,3,4,5,가 반환되고 이어서 minus를 수행하면 1,3,4,5가 반환된다."
29,다음 중 SQL 명령어가 올바르지 않은 것은?,,,DML : RENAME,DCL : REVOKE,DDL : ALTER,DDL : TRUNCATE,"정답: 1
해설: DDL은 CREATE, ALTER, DROP 문이 있다."
30,다음의 SQL문을 실행한 결과를 쓰시오.,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j358-1.png,"SELECT SUM(CASE WHEN COL1 ='A' THEN 1 END) AS SUM1, SUM(CASE WHEN COL3 < 20000 THEN 1 END) AS SUM2 FROM Mytest;","4,8","3,7","2,6","1,5","정답: 2
해설: SUM1은 COL1 ='A'조건을 만족하는 1,2,3행을 각각 1로 되돌리고 합계를 계산하기 때문에 3이 된다. COL2 < 20000 조건은 모든 행이 만족하고 1을 되돌리므로 합계는 7이 된다."
31,다음 주어진 데이터에서 해당 SQL문을 실행 했을 때의 결괏값으로 알맞은 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j536-1.png,"SELECT A, SUM(X) AS TAB FROM TABLE_B GROUP BY A;",,,,,"정답: 2
해설: A 칼럼별로 그룹화하고 집계 함수에서 NULL값을 제외하고 연산을 수행한다."
32,아래 SQL 수행 결과로 가장 적절한 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j696-1.png,SELECT COUNT(TAB1.COL1) AS CNT FROM TAB1 LEFT OUTER JOIN TAB2 ON TAB1.COL2 = TAB2.COL2 AND TAB1.COL1 = TAB2.COL1;,6,5,4,3,"정답: 2
해설: None"
33,다음의 NOT EXISTS 구문을 동일한 결과가 출력되게 SQL문을 변경하시오.,,SELECT ... FROM 급여이력 S WHERE NOT EXISTS (SELECT 'X' FROM 사원 P WHERE P.사원번호 = S.사원번호) [SQL문] SELECT .... FROM 급여이력 S LEFT OUTER JOIN 사원 P ON(S.사원번호=P.사원번호) WHERE ( );,P.사원번호 IS NULL,P.사원번호 IS NOT NULL,P.사원번호 > 0,P.사원번호 = NULL,"정답: 1
해설: NOT EXISTS는 OUTER JOIN으로 변경할 경우 NOT NULL칼럼에 대해서 IS NULL로 검사하여 NOT EXISTS를 구현한다."
34,다음 SQL 수행 결과로 가장 적절한 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j751-1.png,"SELECT SUM(E2.SAL) AS RESULT FROM EMP E1, EMP E2 WHERE E1.HIREDATE >= E2.HIREDATE GROUP BY E1.ENAME;",,,,,"정답: 2
해설: 셀프조인을 통해 각 행마다 입사일이 작거나 같은 모든 행을 출력하는 쿼리로, 각 행마다의 누적 급여 총 합을 출력 하게 된다."
35,아래의 데이터 모델에서 SQL을 이용하여 표(지역별 월별 이용량)와 같은 형식의 데이터를 추출하려고 할 때 올바른 SQL 문장은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j125-1.png,,"SELECT (CASE GROUPING(B.지역ID) WHEN 1 THEN '지역전체' ELSE MIN(B.지역명) END) AS 지역명 ,(CASE GROUPING(TO_CHAR(A.이용일시, 'YYYY.MM')) WHEN 1 THEN '월별합계' ELSE TO_CHAR(A.이용일시, 'YYYY.MM') END) AS 이용월 ,SUM(A.이용량) AS 이용량 FROM 이용내역 A INNER JOIN 지역 B ON (A.지역ID = B.지역ID) GROUP BY GROUPING SETS(B.지역ID, TO_CHAR(A.이용일시, 'YYYY.MM'))","SELECT (CASE GROUPINGS(B.지역명) WHEN 1 THEN '지역전체' ELSE B.지역명 END) AS 지역명 ,(CASE GROUPING(TO_CHAR(A.이용일시, 'YYYY.MM')) WHEN 1 THEN '월별합계' ELSE TO_CHAR(A.이용일시, 'YYYY.MM') END) AS 이용월 ,SUM(A.이용량) AS 이용량 FROM 이용내역 A INNER JOIN 지역 B ON (A.지역ID = B.지역ID) GROUP BY CUBE(B.지역명, TO_CHAR(A.이용일시, 'YYYY.MM'))","SELECT (CASE GROUPINGS(B.지역ID) WHEN 1 THEN '지역전체' ELSE MIN(B.지역명) END) AS 지역명 ,(CASE GROUPING(TO_CHAR(A.이용일시, 'YYYY.MM')) WHEN 1 THEN '월별합계' ELSE TO_CHAR(A.이용일시, 'YYYY.MM') END) AS 이용월 ,SUM(A.이용량) AS 이용량 FROM 이용내역 A INNER JOIN 지역 B ON (A.지역ID = B.지역ID) GROUP BY ROLLUP(B.지역ID, TO_CHAR(A.이용일시, 'YYYY.MM'))","SELECT (CASE GROUPING(B.지역명) WHEN 0 THEN '지역전체' ELSE B.지역명 END) AS 지역명 ,(CASE GROUPING(TO_CHAR(A.이용일시, ’YYYY.MM')) WHEN 0 THEN '월별합계' ELSE TO_CHAR(A.이용일시, 'YYYY.MM') END) AS 이용월 ,SUM(A.이용량) AS 이용량 FROM 이용내역 A INNER JOIN 지역 B ON (A.지역ID = B.지역ID) GROUP BY ROLLUP(B.지역명, TO_CHAR(A.이용일시, 'YYYY.MM'))","정답: 3
해설: 위의 결과 데이터는 지역에 대해서 월별 이용량 및 소계와 전체 이용량을 출력하였으므로, ROLLUP 함수를 활용할 수 있다. ROLLUP 집계 그룹 함수는 나열된 컬럼에 대해 계층 구조로 집계를 출력하는 함수로서 ROLLUP(A, B)를 수행하면 (A, B)별 집계, A별 집계와 전체 집계를 출력할 수 있다. ④번 보기의 경우 CASE 절의 GROUPING 함수의 사용이 잘못 (0이 아닌 1이 되어야 함) 되었으며, ②번 보기처럼 CUBE를 사용하게 되면, 결합 가능한 모든 값에 대하여 다차원 집계를 생성하게 된다. ①번 보기처럼 GROUPING SETS를 사용하게 되면 계층구조 없이 지역에 대한 합계와 월별 합계를 각각 생성하게 된다."
36,아래와 같은 데이터 모델에 대해 SQL을 수행 하였다. 다음 중 수행된 SQL과 동일한 결과를 도출하는 SQL은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j101-1.png,,"SELECT A.서비스ID, A.서비스명, A.서비스URL FROM 서비스 A WHERE 서비스ID IN (SELECT 서비스ID FROM 서비스이용 MINUS SELECT 서비스ID FROM 서비스);","SELECT B.서비스ID, A.서비스명, A.서비스URL FROM 서비스 A LEFT OUTER JOIN 서비스이용 B ON (A.서비스ID = B.서비스ID) WHERE B.서비스ID IS NULL GROUP BY B.서비스ID, A.서비스명, A.서비스URL;","SELECT X.서비스ID, X.서비스명, X.서비스URL FROM 서비스 X WHERE NOT EXISTS (SELECT 1 FROM (SELECT 서비스ID FROM 서비스 MINUS SELECT 서비스ID FROM 서비스이용) Y WHERE X.서비스ID = Y.서비스ID);","SELECT B.서비스ID, A.서비스명, A.서비스URL FROM 서비스 A, 서비스이용 B WHERE A.서비스ID = B.서비스ID;","정답: 3
해설: 수행한 SQL은 이용된 적이 있었던 서비스를 추출하는 SQL이다. ① 서비스와 서비스이용 테이블의 순서를 변경하고 IN 절을 NOT IN으로 변경하면 동일한 결과를 출력할 수 있다. ② 서비스를 기준으로 OUTER JOIN을 수행하였으므로, 이용된 적이 없었던 서비스만 출력된다. B.서비스ID IS NOT NULL로 변경해야 동일한 결과가 출력된다. ③ 전체 서비스에서 이용된 적이 있었던 서비스를 MINUS하였으므로 이용된 적이 없었던 서비스가 서브쿼리에서 추출된다. 그러므로 NOT EXISTS 구문을 적용하면 이용된 적이 있었던 서비스가 출력된다. ④ 이용된 적이 있었던 서비스를 추출하는 것은 동일하나 서비스와 서비스이용은 1:n 관계이므로 서비스 이용건수 만큼 추출되므로 전체 결과가 다르다. GROUP BY를 수행하면 동일한 결과를 출력할 수 있다."
37,다음 중 서브쿼리에 대한 설명으로 올바르지 않은 것은?,,,"서브쿼리는 SELECT절, FROM절, WHERE절 등에서 사용 가능하다.",메인쿼리에서 서브쿼리 내에 있는 칼럼을 사용할 수 없다.,"서브쿼리는 단일행 서브쿼리와 다중행 서브쿼리로 분리되고 다중행 서브쿼리의 경우 IN, ANY, EXISTS, ALL과 같은 함수를 사용해야 한다.","서브쿼리는 SQL문의 SELECT구, FROM구, WHERE구 모두 사용이 가능하다.","정답: 2
해설: 서브쿼리 중에서 INLINE VIEW의 칼럼은 메인쿼리에서도 사용 가능하다."
38,다음 주어진 테이블에서 아래와 같은 결괏값을 반환하는 SQL문을 고르시오.,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j199-1.png,,"select count(case when 반=1 then 1 end) as ""결괏값"" count(case when 반=2 then 1 end) as b, count(case when 반=3 then 1 end) as c from SQLD_67;","select 반, count(distinct 이름) AS ""결괏값"" FROM SQLD_67 group by 반;","select 반, count(1) AS ""결괏값"" FROM SQLD_67 group by 반;","select 반, count(*) AS ""결괏값"" FROM SQLD_67 group by 반;","정답: 2
해설: ② 번에서 주어진 테이블을 '반'속성별로 그룹화한 다음 각 '반' 속성별 행의 수를 count하는데 distinct 인자로 중복되는 이름값은 제외하고 count를 수행하여 결괏값과 같이 반환된다."
