,category,tag,title,content_img,content_text,choices_1,choices_2,choices_3,choices_4,commentary,answer_number
30,2과목,그룹 함수,다음 주어진 두 개의 테이블에 대해서 아래와 같은 결괏값이 반환되도록 아래의 SQL문의 빈칸에 들어갈 값을 적으시오.,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j556-1.png,"SELECT b.grade, a.StudentNo, SUM(b.grade) FROM TEST44_1 a, TEST44_2 b GROUP by ( );","GROUPING SETS(a.studentno, (b.grade, a.studentno));","GROUPING SETS(b.grade, (b.grade, a.studentno));","GROUPING SETS(b.grade, (a.studentno, b.grade));","GROUPING SETS(b.grade, (a.studentno));","결괏값을 보면 1.b.Grade, a.StudentNo에 대한 집계, 2.b.grade에 대한 집계가 있고 전체 집계는 없다.",2
31,2과목,DML,다음 문장의 수행 후 TAB2의 조회 결과로 가장 적절한 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j718-1.png,ALTER TABLE TAB2 ADD FOREIGN KEY(CLASS_NO) REFERENCES TAB1(NO) ON DELETE SET NULL; DELETE FROM TAB1 WHERE NAME = 'C';,,,,,ON DELETE SET NULL 옵션에 의해 TAB1 데이터 삭제 시 자식 데이터의 외래키 컬럼은 NULL로 수정된다.,2
32,2과목,윈도우 함수,다음 테이블에 대한 매출 누적을 구하는 SQL문을 작성하시오.(윈도우 함수 사용),https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j217-1.png,,"SELECT 영업사원, 판매월, sum(매출) from group by 영업사원, 판매월;","SELECT 영업사원, 판매월, sum(매출) over (partition by 판매월 range between unbounded preceding and current row) 누적매출 from 매출;","SELECT 영업사원, 판매월, sum(매출) over (partition by 영업사원 order by 판매월 range between unbounded preceding) 누적매출 from 매출;","SELECT 영업사원, 판매월, sum(매출) over (partition by 영업사원 order by 판매월 range between unbounded preceding and current row) 누적매출 from 매출;","Select 영업사원, 판매월, sum(매출) over (partition by 영업사원 order by 판매월 range between unbounded preceding and current row) 누적매출 from 매출; 영업사원별 누적 매출이므로 ""partition by 영업사원""을 사용해야 한다. 그리고 unbounded preceding와 current row는 시작부터 현재행까지를 의미한다.",4
33,2과목,계층형 질의,다음 주어진 테이블에서 아래와 같은 결과가 반환되도록 SQL문의 빈칸에 들어갈 올바른 것을 고르시오.,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j196-1.png,,"(ㄱ) 남성의류 IS NULL, (ㄴ) 여성의류 = 남성의류;","(ㄱ) 여성의류 IS NULL, (ㄴ) 남성의류 = 여성의류;","(ㄱ) 여성의류, (ㄴ) 여성의류 = 남성의류;","(ㄱ) 남성의류, (ㄴ) 남성의류 = 여성의류;","결괏값에서 남성의류 속성값이 NULL부터 시작하므로 ㄱ 보기에는 남성의류 IS NULL이 와야 한다. 남성의류를 상위계층, 여성의류를 하위계층으로 하며 각 남성의류별 여성의류값이 계층적으로 조회되므로 ㄴ 보기에는 여성의류 = 남성의류가 와야 한다.",1
34,2과목,DML,다음 주어진 테이블에서 아래의 SQL문의 결과값으로 알맞은 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j422-1.png,SELECT COUNT(*) FROM limbest.emp WHERE JOB = 'CLERK' OR (ENAME LIKE 'T%' AND SAL >= 3000);,8건,7건,6건,5건,"ENAME은 모두 ""T""로 시작한다. 따라서 SAL이 3000이상인 사람이 3건이고 JOB이 ""CLERK""은 4건이다. 따라서 총 7건이 조회된다.",2
35,2과목,윈도우 함수,다음 빈칸에 들어갈 문장으로 가장 적절한 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j662-1.png,,"PIVOT (판매량 FOR 구분 FOR (Q1, Q2))","PIVOT (판매량 FOR 구분 IN (Q1, Q2))","UNPIVOT (판매량 FOR 구분 FOR (Q1, Q2))","UNPIVOT (판매량 FOR 구분 IN (Q1, Q2))",WIDE -> LONG 데이터로 변환하는 과정이므로 UNPIVOT이 적절하다. UNPIVOT은 IN으로 LONG 데이터로 변환할 대상을 지정한다.,4
36,2과목,집계 함수,다음 SQL 실행 결과로 가장 알맞은 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j654-1.png,SELECT SUM(COL1) FROM TAB1 T1 WHERE COL3 >= (SELECT AVG(COL3) FROM TAB2 T2 WHERE T2.COL2 = T1.COL2);,23,9,0,,"T2.COL2 값의 그룹별로 COL3의 평균보다 T1.COL3의 값이 큰 행을 찾고, 이들의 T1.COL1의 총 합을 구하는 질의절이다. T2에서 COL2의 값이 A인 그룹의 AVG(COL3)은 20이므로 T1에서 A그룹이면서 COL3의 값이 20보다 크거나 같은 대상을 찾으면 0건이 출력된다. 마찬가지로 T2에서 B그룹의AVG(COL3)을 구하면 20이고, T1의 B그룹중 COL3 의 값이 20보다 크거나 같은 행은 COL1의 값이 4,5인 행이므로 최종 결과는 9가 리턴된다.",2
37,2과목,JOIN,다음 중 아래의 SQL 수행 결과로 가장 적절한 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j113-1.png,,3,2,1,0,"WHERE 절의 단일행 서브쿼리인 (SELECT D FROM DEPT WHERE E = 'i') 에 의해서 DEPT 테이블의 D 컬럼 값이 x인 행이 선택되고, D = (SELECT D FROM DEPT WHERE E = 'i') 조건에 의해 EMP 테이블의 (A=1, B=a), (A=2, B=a) 인 2건이 출력된다. 출력된 결과가 모두 UNIQUE하기 때문에 DISTINCT 연산자는 결과 건수에 영향을 주지 않는다.",2
38,2과목,집계 함수,다음 중 아래와 같은 테이블 A에 대해서 SQL을 수행하였을 때의 결과로 가장 적절한 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j80-1.png,,,,,,,3
39,2과목,집계 함수,다음 중 아래 SQL의 실행결과로 가장 적절한 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j81-1.png,,,,,,,3
40,2과목,,다음 주어진 테이블에 대해서 아래의 SQL문을 수행하였을 때의 결과로 올바른 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j507-1.png,SELECT CASE WHEN SUM (COL1 + COL2) IS NULL THEN 0 ELSE SUM(COL1 + COL2) END AS 합계 FROM TEST32;,25,22,12,,,2
41,2과목,,다음 중 SELECT COL1 + COL3 FROM TAB_A; 의 결과로 가장 적절한 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j64-1.png,,50 NULL NULL,150, 80 10 60,,,1
42,2과목,ER 모델링,다음 중 ERD에 대한 설명으로 올바르지 않은 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j365-1.png,,주문일자는 고객이 주문을 한 일자로 배송이 완료된 후에 갱신되지 않는다.,주문과 제품의 관계에서 하나의 제품에는 하나의 주문만이 존재한다.,배송지는 여러 개의 주문을 배송할 수 있으며 배송지가 없을 수도 있다.,"고객번호가 없으면 주문을 할 수 없으며, 한 명의 고객은 여러 개의 주문을 할 수 있고 주문을 하지 않을 수도 있다.",ERD만 보고 답을 해야 하기 때문에 하나의 제품에 여러 개의 주문이 관계된다.,2
43,2과목,집합 연산자,"테이블이 아래와 같을 때, 다음 집합연산자 수행 결과로 가장 적절한 것은?",https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j655-1.png,"SELECT * FROM (SELECT COL1, COL2 FROM TAB1 UNION SELECT COL1, COL2 FROM TAB2) MINUS SELECT COL1, COL2 FROM TAB3;",,,,,먼저 TAB1과 TAB2의 UNION 결과는 아래와 같다. 이들 중 TAB3의 결과를 빼면 3번 결과가 같다.,3
44,2과목,윈도우 함수,아래 SQL 문장 실행 결과로 가장 적절한 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j755-1.png,"SELECT EMPNO, ENAME, DEPTNO, SAL, LAG(SAL, 2, 0) OVER(PARTITION BY DEPTNO ORDER BY SAL) LAG_VALUE FROM EMP;",,,,,같은 DEPTNO내에서 SAL이 낮은 순서대로 이전 이전 값을 가져오는 문장이다. 가져올 값이 없을 경우 0으로 리턴 한다.,3
